ID,Event,Frame,Cell kind,Coordinates
66,entry,855,1,350.26130653266324,119.7537688442211
77,entry,872,1,350.1592039800995,105.04975124378112
76,entry,922,1,350.00000000000034,117.09950248756222
65,entry,1093,1,350.34499999999997,109.55500000000004
88,entry,1131,1,350.0858585858587,135.08080808080805
44,entry,1171,1,350.15920398009956,77.6766169154229
22,entry,1172,1,350.1071428571429,62.433673469387756
55,entry,1205,1,350.0552763819098,85.74874371859295
43,entry,1256,1,350.1608040201005,98.5427135678392
32,entry,1263,1,350.04020100502504,74.53266331658291
75,entry,1271,1,350.27500000000003,117.89499999999995
64,entry,1300,1,350.11499999999995,126.23999999999997
11,entry,1320,1,350.0995024875623,68.76616915422883
99,entry,1344,1,350.0502512562813,137.14070351758798
42,entry,1351,1,350.005,94.67500000000003
74,entry,1356,1,350.1414141414143,111.67676767676767
21,entry,1360,1,350.0251256281409,81.7537688442211
10,entry,1383,1,350.0050000000001,65.97000000000003
98,entry,1389,1,350.23500000000007,126.08999999999996
53,entry,1434,1,350.02010050251255,92.75376884422111
87,entry,1450,1,350.070707070707,113.9040404040404
33,entry,1467,1,350.135,72.08
52,entry,1506,1,350.0150753768844,84.11557788944725
96,entry,1512,1,350.0406091370558,136.45177664974614
86,entry,1522,1,350.01015228426417,124.77664974619289
9,entry,1551,1,350.010101010101,63.33333333333333
41,entry,1560,1,350.0757575757577,94.98989898989899
72,entry,1605,1,350.02538071066004,115.33502538071065
40,entry,1639,1,350.0816326530615,84.03571428571432
31,entry,1648,1,350.04060913705575,72.38578680203047
62,entry,1654,1,350.04040404040404,106.45454545454551
97,entry,1717,1,350.1616161616163,127.02020202020199
30,entry,1725,1,350.2070707070706,85.96969696969703
95,entry,1736,1,350.055837563452,136.4619289340102
63,entry,1801,1,350.0964467005077,103.85279187817261
54,entry,1811,1,350.15228426395925,90.33502538071065
61,entry,1861,1,350.0612244897961,116.33163265306125
60,entry,1899,1,350.0303030303031,103.75252525252517
85,entry,1920,1,350.2070707070707,132.3030303030303
19,entry,1929,1,350.18367346938794,78.62755102040819
37,entry,1953,1,350.0454545454548,91.12626262626262
77,exit,2007,1,550.0249999999996,87.25500000000002
73,entry,2008,1,350.09137055837573,119.0659898477157
76,exit,2011,1,550.2462311557791,109.85427135678394
66,exit,2038,1,550.0900000000003,99.00500000000001
29,entry,2086,1,350.07614213197945,67.65989847715737
92,entry,2097,1,350.1173469387756,129.3877551020409
71,entry,2105,1,350.1065989847715,104.55837563451777
65,exit,2115,1,550.0298507462691,97.79104477611943
50,entry,2137,1,350.10659898477184,94.50761421319794
44,exit,2139,1,550.0299999999999,72.62
18,entry,2142,1,350.08629441624385,77.60406091370561
88,exit,2155,1,550.1049999999999,110.69999999999999
59,entry,2186,1,350.0204081632653,114.83163265306128
55,exit,2210,1,550.0650000000003,96.75999999999998
22,exit,2220,1,550.0999999999999,78.70000000000005
75,exit,2241,1,550.0999999999998,110.33500000000002
51,entry,2249,1,350.03571428571416,92.51020408163265
