ID,Event,Frame,Cell kind,Coordinates
22,entry,726,1,350.19191919191945,64.0909090909091
88,entry,788,1,350.10500000000013,133.83000000000004
33,entry,795,1,350.0358974358976,63.969230769230755
44,entry,820,1,350.11999999999983,77.20499999999998
77,entry,849,1,350.0700000000002,127.30500000000002
11,entry,852,1,350.2613065326634,66.13567839195977
87,entry,887,1,350.1299999999998,132.32500000000002
43,entry,894,1,350.19095477386924,89.17085427135675
32,entry,898,1,350.3084577114428,79.04477611940301
10,entry,903,1,350.26,66.05999999999999
76,entry,938,1,350.2200000000002,113.17999999999995
99,entry,943,1,350.1128205128205,136.6153846153846
21,entry,963,1,350.0150753768845,76.33668341708544
31,entry,964,1,350.16243654822335,91.35025380710661
86,entry,964,1,350.0351758793971,122.54271356783923
9,entry,974,1,350.12820512820525,64.66666666666667
97,entry,1007,1,350.03553299492404,132.7157360406092
66,entry,1012,1,350.06532663316585,113.19095477386936
42,entry,1026,1,350.04020100502527,90.11055276381907
20,entry,1030,1,350.0201005025123,74.11557788944728
98,entry,1064,1,350.0558375634517,134.0761421319797
8,entry,1085,1,350.08121827411185,63.06598984771571
85,entry,1090,1,350.08673469387764,121.47959183673474
30,entry,1092,1,350.1275510204082,77.35204081632651
55,entry,1106,1,350.04060913705604,93.15736040609136
75,entry,1122,1,350.0204081632653,107.19387755102045
96,entry,1153,1,350.0714285714288,134.96428571428572
19,entry,1183,1,350.0979381443297,82.27319587628864
84,entry,1192,1,350.2244897959183,120.01530612244899
7,entry,1200,1,350.31443298969066,65.36082474226804
53,entry,1242,1,350.08762886597935,96.76288659793809
95,entry,1251,1,350.04663212435236,134.7720207253886
29,entry,1281,1,350.1082474226806,84.06185567010307
74,entry,1296,1,350.0994764397907,117.18848167539274
18,entry,1319,1,350.10362694300534,69.47150259067361
65,entry,1342,1,350.020942408377,99.23036649214657
73,entry,1372,1,350.0466321243521,117.40414507772012
28,entry,1384,1,350.10824742268045,69.42783505154637
41,entry,1404,1,350.0979381443302,89.23195876288662
83,entry,1441,1,350.04188481675396,129.23036649214654
6,entry,1455,1,350.12886597938143,62.72164948453607
64,entry,1460,1,350.06735751295327,108.67357512953372
22,exit,1488,1,550.2920792079208,96.10891089108918
94,entry,1496,1,350.0890052356024,137.69633507853405
17,entry,1507,1,350.13989637305696,71.86528497409327
72,entry,1515,1,350.2124352331606,114.44559585492229
88,exit,1535,1,550.0148514851485,112.90594059405944
27,entry,1542,1,350.0567010309281,83.62371134020617
33,exit,1556,1,550.0945273631842,95.90049751243777
82,entry,1562,1,350.08205128205117,127.67179487179483
44,exit,1596,1,550.1699999999996,107.79000000000005
5,entry,1619,1,350.1295336787566,62.601036269430026
70,entry,1625,1,350.0153846153846,112.78974358974358
11,exit,1628,1,550.1550000000001,94.67000000000002
77,exit,1629,1,550.29,114.99500000000005
26,entry,1636,1,350.18556701030946,73.09793814432987
40,entry,1641,1,350.062176165803,91.64766839378238
52,entry,1663,1,350.08762886597924,102.34536082474224
43,exit,1669,1,550.0886699507392,91.48768472906401
93,entry,1669,1,350.3575129533682,131.00000000000003
87,exit,1683,1,550.2227722772278,112.47524752475249
32,exit,1705,1,550.0995024875621,83.50746268656722
15,entry,1722,1,350.07653061224465,83.5765306122449
76,exit,1723,1,550.1105527638184,118.24623115577897
21,exit,1727,1,550.1625615763545,98.96059113300494
91,entry,1728,1,350.14432989690727,135.68556701030928
14,entry,1729,1,350.0564102564104,70.025641025641
10,exit,1755,1,550.0696517412931,80.55223880597013
99,exit,1767,1,550.1449999999995,111.95500000000004
80,entry,1790,1,350.1055276381911,114.12060301507539
86,exit,1796,1,550.0100502512564,101.57788944723616
9,exit,1810,1,550.1349999999999,87.07999999999997
68,entry,1819,1,350.04639175257734,123.4175257731959
97,exit,1824,1,550.1349999999999,116.00500000000002
37,entry,1826,1,350.05128205128216,79.13846153846151
16,entry,1833,1,350.09947643979064,62.21465968586388
81,entry,1835,1,350.0000000000001,137.19072164948452
20,exit,1854,1,550.1249999999997,83.415
31,exit,1862,1,550.2200000000004,106.17999999999999
23,entry,1874,1,350.0310880829015,71.60621761658032
66,exit,1894,1,550.0502512562812,100.50251256281403
42,exit,1909,1,550.4179104477615,84.8905472636815
89,entry,1933,1,350.1167512690355,128.53807106598984
98,exit,1934,1,550.0450000000003,111.97500000000002
3,entry,1949,1,350.205128205128,63.815384615384616
30,exit,1952,1,550.0707070707067,93.47474747474743
49,entry,1957,1,350.1139896373056,83.0673575129534
85,exit,1989,1,550.233830845771,109.73134328358209
79,entry,2009,1,350.0871794871797,131.34871794871802
8,exit,2013,1,550.0301507537686,84.74371859296483
55,exit,2017,1,550.3718592964826,97.72864321608041
96,exit,2042,1,550.0502512562816,113.68341708542707
4,entry,2053,1,350.03076923076947,63.953846153846165
60,entry,2056,1,350.0710659898479,115.67512690355333
39,entry,2061,1,350.17587939698484,90.95979899497486
24,entry,2070,1,350.0404040404041,80.2676767676768
19,exit,2078,1,550.140703517588,88.5175879396985
67,entry,2078,1,350.0050000000003,131.13500000000002
53,exit,2089,1,550.1065989847714,111.09137055837569
7,exit,2104,1,550.2599999999995,97.53
47,entry,2130,1,350.0808080808081,73.92424242424244
75,exit,2137,1,550.3830845771141,112.91542288557216
29,exit,2158,1,550.0199004975123,95.50746268656714
12,entry,2169,1,350.0904522613064,62.492462311557794
90,entry,2171,1,350.11734693877554,134.69897959183666
71,entry,2174,1,350.0050251256281,111.26633165829149
84,exit,2189,1,550.3880597014925,112.10447761194037
18,exit,2192,1,550.18407960199,85.32835820895522
74,exit,2218,1,550.0999999999999,102.73499999999997
