ID,Event,Frame,Cell kind,Coordinates
77,entry,937,1,350.13000000000017,129.6799999999999
66,entry,947,1,350.0249999999998,112.9
76,entry,1012,1,350.17085427135663,122.1155778894472
44,entry,1040,1,350.0000000000002,66.19000000000001
99,entry,1054,1,350.0454545454544,136.3888888888888
22,entry,1130,1,350.0804020100501,68.00502512562811
87,entry,1145,1,350.1565656565656,134.10101010101002
75,entry,1176,1,350.2049999999999,112.48500000000006
33,entry,1185,1,350.140703517588,68.52261306532664
88,entry,1215,1,350.08,135.02500000000012
21,entry,1253,1,350.0699999999998,64.35000000000002
55,entry,1255,1,350.06030150753764,92.17085427135673
65,entry,1303,1,350.26368159204003,124.91044776119405
74,entry,1308,1,350.0101010101011,115.7575757575758
97,entry,1318,1,350.25125628140705,137.05527638190952
32,entry,1333,1,350.12121212121224,72.50505050505049
54,entry,1339,1,350.11499999999984,83.67500000000001
73,entry,1393,1,350.0845771144278,112.60696517412936
98,entry,1429,1,350.1212121212122,132.36868686868684
43,entry,1442,1,350.13500000000016,93.13999999999996
18,entry,1454,1,350.16080402010044,81.20100502512568
62,entry,1469,1,350.161616161616,114.77777777777776
53,entry,1473,1,350.1421319796954,102.47715736040614
86,entry,1504,1,350.1565656565657,123.1565656565657
20,entry,1506,1,350.06598984771597,67.84771573604064
52,entry,1568,1,350.0913705583754,93.1725888324873
11,entry,1606,1,350.04591836734704,64.62244897959187
72,entry,1613,1,350.0304568527921,116.08629441624367
31,entry,1656,1,350.02040816326536,83.91836734693877
95,entry,1665,1,350.0204081632652,124.95408163265301
64,entry,1670,1,350.0456852791879,104.96446700507616
96,entry,1686,1,350.0408163265305,135.7755102040817
42,entry,1763,1,350.03553299492404,97.53299492385781
10,entry,1817,1,350.12182741116754,63.61421319796953
51,entry,1819,1,350.04568527918775,116.62944162436551
30,entry,1820,1,350.0913705583757,81.746192893401
9,entry,1928,1,350.015228426396,65.32487309644671
85,entry,1934,1,350.08080808080825,125.10101010101012
66,exit,1941,1,550.4070351758792,102.6331658291457
29,entry,1951,1,350.0659898477156,90.09137055837566
71,entry,1965,1,350.0050761421323,111.80710659898479
27,entry,1974,1,350.0355329949241,78.46700507614213
94,entry,2004,1,350.18367346938777,132.78061224489798
49,entry,2030,1,350.0150753768847,99.39195979899499
77,exit,2064,1,550.181818181818,106.25252525252527
8,entry,2085,1,350.0355329949239,65.35025380710661
44,exit,2102,1,550.2200000000001,88.95500000000003
63,entry,2138,1,350.1269035532995,111.76142131979691
99,exit,2147,1,550.1060606060606,108.13131313131316
40,entry,2148,1,350.0152284263961,89.74619289340102
19,entry,2171,1,350.08121827411134,77.61421319796955
76,exit,2194,1,550.0101010101006,96.97979797979801
22,exit,2203,1,550.0500000000002,81.87499999999996
87,exit,2237,1,550.1105527638193,105.50753768844224
84,entry,2241,1,350.02040816326524,128.98469387755094
61,entry,2254,1,350.02030456852805,113.89340101522845
41,entry,2267,1,350.0253807106599,94.49746192893397
74,exit,2283,1,550.0849999999998,114.96
33,exit,2289,1,550.0298507462687,83.28358208955224
75,exit,2298,1,550.0940594059404,96.26237623762371
7,entry,2315,1,350.01010101010104,68.62121212121208
93,entry,2370,1,350.01015228426417,136.12690355329946
73,exit,2375,1,550.0050251256278,88.76381909547737
55,exit,2387,1,550.0251256281401,104.37185929648243
28,entry,2401,1,350.0862944162435,94.27918781725886
58,entry,2428,1,350.05076142132003,115.06598984771577
6,entry,2450,1,350.1076923076924,64.47179487179487
97,exit,2453,1,550.1256281407034,90.30150753768851
60,entry,2490,1,350.18367346938777,102.96428571428575
88,exit,2491,1,550.0100502512557,104.44723618090453
83,entry,2498,1,350.0459183673469,129.68877551020398
54,exit,2530,1,550.205,93.9
16,entry,2535,1,350.02010050251255,88.15075376884418
65,exit,2544,1,550.1155778894472,112.23618090452266
21,exit,2545,1,550.1800000000002,83.68999999999997
26,entry,2574,1,350.04020100502515,80.43718592964821
43,exit,2604,1,550.2250000000003,98.14499999999998
32,exit,2617,1,550.1005025125628,76.44221105527643
59,entry,2625,1,350.0357142857142,119.39795918367346
13,entry,2628,1,350.04081632653043,73.52040816326527
39,entry,2658,1,350.1472081218276,98.03553299492387
18,exit,2670,1,550.1691542288552,96.2686567164179
62,exit,2670,1,550.0949999999997,113.95499999999993
81,entry,2672,1,350.10659898477167,134.1218274111673
20,exit,2694,1,550.2613065326634,78.45226130653265
70,entry,2722,1,350.05076142132,108.8984771573604
52,exit,2738,1,550.0854271356783,88.2713567839196
53,exit,2739,1,550.1658291457283,104.00502512562812
86,exit,2756,1,550,114.03999999999998
4,entry,2761,1,350.01530612244915,62.852040816326536
15,entry,2772,1,350.0964467005076,75.20304568527919
11,exit,2803,1,550.2288557213927,85.29353233830851
72,exit,2833,1,550.1442786069651,101.14925373134331
38,entry,2842,1,350.0954773869346,94.82412060301509
25,entry,2874,1,350.0456852791879,83.30964467005077
69,entry,2877,1,350.14141414141454,115.35858585858578
98,exit,2889,1,550.0502512562812,109.04020100502514
95,exit,2893,1,550.2914572864315,94.68844221105527
57,entry,2906,1,350.0456852791876,104.73604060913708
92,entry,2907,1,350.090909090909,137.0959595959596
96,exit,2953,1,550.1940298507457,108.5572139303483
64,exit,2958,1,550.2110552763818,86.00502512562814
23,entry,2979,1,350.05583756345186,79.9441624365482
80,entry,2999,1,350.01010101010087,125.39898989898995
36,entry,3010,1,350.03553299492387,68.05076142131982
31,exit,3024,1,550.0849999999997,94.99999999999997
78,entry,3048,1,350.0202020202021,116.01515151515154
