ID,Event,Frame,Cell kind,Coordinates,
99,entry,1317,1,350.145,135.27
33,entry,1353,1,350.005,64.71
88,entry,1457,1,350.2121212,134.9191919
21,entry,1473,1,350.13,64.54
44,entry,1510,1,350.035,74.955
77,entry,1549,1,350.0753769,132.7638191
11,entry,1634,1,350.1370558,63.02538071
87,entry,1641,1,350.1890547,134.7860697
32,entry,1706,1,350.2914573,77.29145729
43,entry,1714,1,350.0746269,86.73134328
86,entry,1716,1,350.080402,125.4271357
22,entry,1755,1,350.1507538,67.75879397
76,entry,1758,1,350.0845771,114.8059701
98,entry,1772,1,350.010101,136.5757576
10,entry,1840,1,350.0252525,68.65656566
85,entry,1851,1,350.0351759,120.2311558
20,entry,1861,1,350.1262626,82.30808081
75,entry,1922,1,350.0606061,130.0656566
42,entry,1932,1,350.075,92.12
30,entry,1936,1,350.2878788,65.32828283
66,entry,1976,1,350.05,114.85
31,entry,1994,1,350.015,78.795
73,entry,2041,1,350.075,125.505
97,entry,2063,1,350.0753769,136.7437186
8,entry,2067,1,350.0151515,64.68181818
55,entry,2096,1,350.055,95.18
74,entry,2129,1,350.0854271,112.7738693
29,entry,2140,1,350.0351759,80.22613065
19,entry,2179,1,350.2211055,66.55778894
84,entry,2207,1,350.1212121,124.8888889
96,entry,2310,1,350.0862944,135.9035533
40,entry,2350,1,350.0100503,79.68844221
54,entry,2362,1,350.0201005,91.9798995
72,entry,2405,1,350.0858586,104.520202
94,entry,2426,1,350.0753769,125.6984925
9,entry,2441,1,350.0505051,62.95959596
18,entry,2454,1,350.0253807,72.31979695
95,entry,2570,1,350.0050761,136.6954315
53,entry,2571,1,350.0151515,93.68181818
64,entry,2615,1,350,105.1363636
70,entry,2628,1,350.0353535,123.9848485
33,exit,2664,1,550.0100503,91.93467337
99,exit,2677,1,550.075,104.965
7,entry,2739,1,350.071066,66.92893401
28,entry,2742,1,350.0765306,87.90306122
21,exit,2772,1,550.1,98.635
83,entry,2783,1,350.0606061,107.0656566
93,entry,2789,1,350.142132,133.106599
44,exit,2838,1,550.11,89.5
59,entry,2865,1,350.0507614,116.7309645
77,exit,2880,1,550.1212121,100.489899
88,exit,2880,1,550.0150754,111.6281407
17,entry,2906,1,350.0703518,64.17085427
91,entry,2933,1,350.010101,134.6414141
6,entry,2942,1,350.1212121,82.2979798
11,exit,2970,1,550.2878788,90.33333333
87,exit,3002,1,550.0298507,115.0248756
32,exit,3065,1,550.2878788,99.02525253
61,entry,3070,1,350.0659898,109.7258883
82,entry,3087,1,350.0656566,134.8787879
86,exit,3101,1,550.0502513,110.4623116
15,entry,3108,1,350.0101523,63.60913706
16,entry,3115,1,350.010101,80.29292929
22,exit,3118,1,550.155,87
81,entry,3127,1,350.0606061,123.1969697
43,exit,3175,1,550,101.1457286
76,exit,3177,1,550.19,117.985
85,exit,3253,1,550.1658291,102.6231156
10,exit,3271,1,550.1959799,89.26130653
27,entry,3288,1,350.1256281,83.23115578
39,entry,3309,1,350.1055276,93.32160804
98,exit,3318,1,550.0502513,114.9497487
79,entry,3320,1,350.0909091,136.0555556
24,entry,3347,1,350.02,76.195
71,entry,3350,1,350.0253807,112.9492386
20,exit,3364,1,550.1155779,94.64321608
69,entry,3390,1,350.1010101,122.7474747
41,entry,3393,1,350.0502513,103.0150754
42,exit,3394,1,550.1717172,106.3838384
75,exit,3404,1,550.0351759,118.9145729
30,exit,3448,1,550,85.46733668
5,entry,3469,1,350.0502513,63.43718593
14,entry,3482,1,350.0959596,78
80,entry,3482,1,350,132.8989899
31,exit,3490,1,550.04,99.16
66,exit,3500,1,550.1959799,116.1306533
8,exit,3556,1,550.2736318,90.00497512
55,exit,3607,1,550.11,100.94
73,exit,3634,1,550.0049751,113.6169154
51,entry,3663,1,350,85.92424242
4,entry,3681,1,350,63.5177665
92,entry,3689,1,350.030303,136.0252525
74,exit,3693,1,550.0447761,99.6318408
29,exit,3736,1,550.0050251,87.88442211
97,exit,3750,1,550.0954774,114.3567839
57,entry,3754,1,350.040201,123.6884422
37,entry,3788,1,350.0050505,78.7020202
84,exit,3805,1,550.1060606,99.5
38,entry,3819,1,350,91.86
96,exit,3854,1,550.0656566,111.9292929
54,exit,3885,1,550.0149254,89.64676617
40,exit,3927,1,550.0150754,103.9949749
60,entry,3938,1,350.010101,109.0555556
89,entry,3945,1,350.0100503,133.7035176
26,entry,3960,1,350.0251256,74.80904523
52,entry,4013,1,350.0050251,98.11557789
94,exit,4017,1,550.0301508,112.0603015
19,exit,4019,1,550.0251256,99.38693467
58,entry,4019,1,350.0050251,120.5376884
13,entry,4038,1,350.0252525,63.01010101
18,exit,4102,1,550.2964824,93.28643216
95,exit,4118,1,550.1658291,122.4271357
67,entry,4188,1,350.010101,135.7171717
72,exit,4198,1,550.095,102.02
56,entry,4200,1,350.1464646,123.4393939
70,exit,4210,1,550,116.52
9,exit,4226,1,550.020202,88.96464646
63,entry,4243,1,350.0456853,107.2690355
25,entry,4273,1,350.1060606,74.86363636
53,exit,4296,1,550.1557789,95.92964824
48,entry,4304,1,350.0858586,91.6010101
64,exit,4327,1,550.0753769,109.9748744
7,exit,4377,1,550.0199005,89.31343284
83,exit,4405,1,550.105,100.66
3,entry,4448,1,350.1161616,64.39393939
23,entry,4481,1,350.0909091,75.67171717
90,entry,4483,1,350.0150754,135.7286432
6,exit,4498,1,550.08,91.89
93,exit,4536,1,550.1457286,104.0854271
50,entry,4542,1,350.0904523,101.8492462
47,entry,4551,1,350.160804,91.71356784
17,exit,4616,1,550.14,84.545
59,exit,4633,1,550.1464646,95.95454545
91,exit,4656,1,550.0502513,109.6130653
62,entry,4723,1,350.03,118.87
2,entry,4724,1,350,63.08040201
15,exit,4728,1,550.265,85.11
28,exit,4749,1,550.04,105.26
68,entry,4757,1,350.0100503,108.1557789
34,entry,4782,1,350.1010101,92.92929293
36,entry,4796,1,350.0555556,73.73737374
35,entry,4814,1,350.0808081,128.3787879
24,exit,4819,1,550.0301508,88.52261307
16,exit,4830,1,550.07,106.03
82,exit,4887,1,550.0351759,116.678392
27,exit,4914,1,550.1005025,91.74371859
79,exit,4946,1,550.05,108.085
49,entry,4955,1,350.1005025,87.18090452
81,exit,5014,1,550.1507538,100.2713568
78,entry,5015,1,350.0904523,131.1356784
45,entry,5051,1,350.1909548,77.46733668
61,exit,5092,1,550.25,112.6
14,exit,5110,1,550.080402,90.40703518
12,entry,5130,1,350.145,67.255
39,exit,5133,1,550.1758794,102.3919598
100,entry,5204,1,350.0555556,135.7424242
71,exit,5217,1,550.125,94.155
80,exit,5220,1,550.080402,111.0201005
5,exit,5321,1,550.005,97.69
1,entry,5346,1,350.1507538,63.65829146
69,exit,5386,1,550.035,104.605
51,exit,5478,1,550.07,92.875
ID,Event,Frame,Cell kind,Coordinates,
33,entry,1343,1,350.215,66.155
88,entry,1400,1,350.2261307,134.3819095
11,entry,1505,1,350.0050251,62.92462312
22,entry,1509,1,350.040404,72.86868687
76,entry,1528,1,350.010101,125.4242424
44,entry,1542,1,350.0653266,83.22110553
99,entry,1545,1,350.0552764,137.0502513
32,entry,1628,1,350.1969697,76.66666667
87,entry,1632,1,350.1055276,126.1256281
43,entry,1651,1,350.0707071,90.34848485
10,entry,1688,1,350.020202,65.54040404
77,entry,1733,1,350.2029703,115.5148515
86,entry,1742,1,350.1256281,129.6281407
31,entry,1744,1,350.0606061,79.05555556
55,entry,1789,1,350.1658291,90.53266332
21,entry,1808,1,350.0252525,65.5
98,entry,1811,1,350.0555556,136.020202
75,entry,1875,1,350.1767677,114.0808081
30,entry,1897,1,350.0251256,78.51256281
85,entry,1902,1,350.0507614,124.7106599
8,entry,1941,1,350.1319797,63.85786802
42,entry,1951,1,350.0904523,96.52763819
96,entry,1956,1,350.0656566,134.7070707
20,entry,1991,1,350.020202,77.83333333
7,entry,2088,1,350.020202,64.91414141
95,entry,2130,1,350.0353535,135.010101
41,entry,2176,1,350.0203046,83.64467005
74,entry,2180,1,350.0609137,119.1522843
53,entry,2227,1,350.0353535,94.85858586
66,entry,2246,1,350.2828283,106.1919192
19,entry,2268,1,350.1868687,74.73737374
9,entry,2306,1,350.0507614,65.09137056
94,entry,2311,1,350.1319797,136.5025381
29,entry,2440,1,350.0653266,82.96482412
64,entry,2461,1,350.142132,107.7106599
17,entry,2493,1,350.0909091,66.34848485
84,entry,2509,1,350.0964467,116.7309645
