ID,Event,Frame,Cell kind,Coordinates
99,entry,675,1,350.20499999999987,132.46999999999997
88,entry,729,1,350.2178217821782,131.22772277227725
22,entry,755,1,350.04499999999985,64.825
75,entry,786,1,350.2613065326632,120.61306532663316
98,entry,786,1,350.00500000000034,135.18
55,entry,806,1,350.00502512562815,77.38190954773872
44,entry,842,1,350.1699999999997,67.02000000000001
66,entry,845,1,350.3819095477387,96.42211055276383
77,entry,856,1,350.08457711442793,121.53233830845778
87,entry,894,1,350.01507537688445,127.71859296482414
33,entry,897,1,350.07425742574276,89.14356435643563
11,entry,912,1,350.1293532338307,70.31840796019902
76,entry,937,1,350.01005025125625,124.14572864321613
21,entry,950,1,350.19095477386963,89.1909547738693
20,entry,961,1,350.04975124378126,68.13930348258707
32,entry,1001,1,350.1492537313435,88.47761194029849
96,entry,1010,1,350.0959595959595,137.60101010101013
64,entry,1017,1,350.16915422885586,125.13930348258702
52,entry,1019,1,350.3650000000002,104.61000000000003
9,entry,1026,1,350.00000000000017,69.71212121212127
65,entry,1051,1,350.10447761194047,111.681592039801
41,entry,1077,1,350.0150753768846,86.81909547738692
43,entry,1099,1,350.21717171717177,74.56060606060608
63,entry,1099,1,350.34343434343435,118.18686868686866
97,entry,1118,1,350.1065989847714,133.0456852791879
31,entry,1154,1,350.0204081632655,63.04081632653058
74,entry,1162,1,350.1428571428571,118.9387755102041
40,entry,1178,1,350.0913705583755,102.24873096446697
29,entry,1188,1,350.1928934010153,72.89847715736042
54,entry,1198,1,350.05583756345175,90.8020304568528
71,entry,1219,1,350.07614213197974,125.38071065989851
53,entry,1274,1,350.045685279188,89.1472081218274
86,entry,1290,1,350.09230769230777,137.3846153846154
50,entry,1333,1,350.18367346938794,92.78061224489801
73,entry,1337,1,350.08629441624356,122.90862944162441
39,entry,1341,1,350.127551020408,77.20918367346938
82,entry,1361,1,350.0721649484537,110.5618556701031
99,exit,1418,1,550.2388059701489,87.8109452736318
51,entry,1423,1,350.0410256410254,96.99999999999999
30,entry,1433,1,350.0204081632655,77.9234693877551
72,entry,1454,1,350.1275510204083,115.36224489795921
95,entry,1481,1,350.0050505050504,134.77777777777789
88,exit,1489,1,550.1044776119404,115.61691542288555
22,exit,1504,1,550.1089108910886,89.00495049504947
61,entry,1515,1,350.08585858585826,91.25757575757572
75,exit,1560,1,550.0643564356434,91.27227722772282
84,entry,1569,1,350.076530612245,125.27551020408157
17,entry,1587,1,350.076923076923,72.0871794871795
62,entry,1598,1,350.10769230769216,110.63589743589746
77,exit,1624,1,550.0299999999996,111.93999999999998
19,entry,1628,1,350.02040816326513,93.62755102040813
85,entry,1632,1,350.0406091370561,136.43654822335017
10,entry,1666,1,350.0913705583756,67.26395939086298
44,exit,1681,1,550.0100502512566,89.33165829145722
49,entry,1705,1,350.1071428571426,105.03061224489792
37,entry,1724,1,350.07614213197974,89.27918781725889
55,exit,1730,1,550.2227722772277,85.30693069306933
66,exit,1735,1,550.2663316582915,100.71859296482408
98,exit,1751,1,550.0300000000001,122.245
48,entry,1756,1,350.2244897959186,131.23469387755097
42,entry,1785,1,350.1179487179487,78.07692307692311
33,exit,1797,1,550.165829145728,96.20100502512562
76,exit,1825,1,550.0597014925374,108.91542288557216
