ID,Event,Frame,Cell kind,Coordinates
44,entry,675,1,350.1293532338308,89.07462686567159
77,entry,690,1,350.15999999999985,116.53499999999995
55,entry,720,1,350.1749999999999,86.97000000000003
32,entry,750,1,350.25870646766174,68.07960199004977
66,entry,758,1,350.34158415841574,116.1089108910891
43,entry,771,1,350.07499999999993,84.52500000000003
87,entry,797,1,350.35323383084574,126.76616915422889
33,entry,810,1,350.09452736318434,66.11442786069655
88,entry,829,1,350.01,133.6349999999999
54,entry,831,1,350.0000000000001,85.83582089552242
22,entry,883,1,350.035,68.93000000000002
53,entry,891,1,350.2575757575757,97.04040404040403
97,entry,897,1,350.0402010050252,133.11055276381907
42,entry,915,1,350.0149253731345,84.48258706467658
86,entry,947,1,350.1534653465347,135.81188118811883
20,entry,957,1,350.08499999999987,71.61500000000004
64,entry,993,1,350.0099999999998,85.61999999999998
76,entry,996,1,350.34,105.02000000000004
31,entry,1019,1,350.0502512562815,68.84924623115577
75,entry,1031,1,350.04950495049496,110.61881188118807
51,entry,1054,1,350.16666666666663,86.63131313131309
63,entry,1058,1,350.11557788944725,124.37688442211049
21,entry,1074,1,350.09499999999997,64.73499999999999
84,entry,1085,1,350.0452261306535,133.71859296482407
40,entry,1098,1,350.11055276381904,96.31658291457289
30,entry,1139,1,350.005,81.165
74,entry,1144,1,350.0000000000001,124.40201005025125
72,entry,1167,1,350.1940298507465,133.4427860696517
50,entry,1258,1,350.05527638190983,85.75879396984921
18,entry,1272,1,350.0454545454546,72.52020202020205
73,entry,1276,1,350.2261306532663,104.18090452261306
65,entry,1286,1,350.2323232323234,120.69696969696963
19,entry,1300,1,350.050505050505,63.540404040404056
92,entry,1354,1,350.0461538461536,111.85641025641023
41,entry,1374,1,350.11111111111137,81.7828282828282
83,entry,1384,1,350.10152284263955,122.5685279187817
96,entry,1415,1,350.02512562814076,135.09045226130655
17,entry,1453,1,350.01522842639594,87.87309644670047
80,entry,1464,1,350.1522842639593,114.57360406091374
38,entry,1471,1,350.10204081632656,102.13265306122445
77,exit,1494,1,550.0452261306535,96.86934673366835
55,exit,1499,1,550.1840796019899,87.19900497512441
85,entry,1502,1,350.0103092783505,132.8711340206186
27,entry,1543,1,350.08673469387753,89.63775510204076
66,exit,1545,1,550.1850000000001,107.35499999999993
94,entry,1580,1,350.02538071066004,135.7766497461929
44,exit,1606,1,550.2450980392159,102.12745098039214
95,entry,1607,1,350.01530612244903,123.31122448979589
32,exit,1638,1,550.0100502512558,94.10050251256278
61,entry,1645,1,350.0050761421321,103.29441624365487
88,exit,1645,1,550.2227722772275,114.08415841584157
6,entry,1664,1,350.0615384615385,90.18461538461537
87,exit,1685,1,550.0248756218903,100.19900497512435
53,exit,1703,1,550.1144278606963,110.66169154228855
28,entry,1735,1,350.1212121212119,87.05050505050507
29,entry,1738,1,350.0867346938775,66.4234693877551
33,exit,1748,1,550.08,92.31999999999998
82,entry,1748,1,350.16836734693874,114.96938775510206
43,exit,1767,1,550.1691542288557,103.01492537313432
91,entry,1774,1,350.0050761421318,126.9695431472081
98,entry,1781,1,350.03045685279193,137.02030456852802
76,exit,1801,1,550.0547263681588,109.28855721393032
54,exit,1808,1,550.0799999999997,89.245
10,entry,1820,1,350.14070351758824,74.02010050251255
16,entry,1852,1,350.0000000000001,64.24365482233503
22,exit,1864,1,550.0499999999998,93.30999999999996
60,entry,1877,1,350.14213197969553,92.01015228426391
39,entry,1899,1,350.0252525252525,101.08585858585863
86,exit,1908,1,550.0301507537691,126.35175879396988
15,entry,1915,1,350.16751269035524,81.78172588832493
97,exit,1920,1,550.0895522388062,104.31840796019898
20,exit,1927,1,550.0650000000002,92.21999999999998
42,exit,1981,1,550.2311557788942,106.36180904522612
64,exit,1986,1,550.2189054726367,89.15422885572134
49,entry,1991,1,350.0558375634518,83.9390862944163
75,exit,2019,1,550.1641791044771,112.84577114427866
79,entry,2019,1,350.0454545454545,135.13131313131308
37,entry,2030,1,350.0204081632653,113.0714285714285
58,entry,2047,1,350.38578680203045,96.83756345177665
9,entry,2055,1,350.0555555555556,62.37373737373737
4,entry,2062,1,350.17085427135663,80.31155778894478
30,exit,2068,1,550.3969849246233,82.60301507537689
31,exit,2083,1,550.0497512437812,95.80099502487555
99,entry,2126,1,350.09595959595976,135.79797979797976
63,exit,2132,1,550.0646766169151,106.06467661691539
23,entry,2141,1,350.0609137055839,71.22842639593907
51,exit,2143,1,550.0000000000005,92.46733668341707
89,entry,2158,1,350.11734693877554,125.10204081632651
47,entry,2169,1,350.1827411167512,106.56345177664974
14,entry,2174,1,350.0255102040814,85.22959183673471
84,exit,2175,1,550.1306532663317,115.15075376884418
40,exit,2194,1,550.0600000000001,103.48500000000001
34,entry,2237,1,350.24623115577884,85.12060301507532
50,exit,2240,1,550.2950000000001,96.76499999999999
73,exit,2267,1,550.145728643216,86.0502512562814
74,exit,2294,1,550,102.35999999999997
59,entry,2297,1,350.1565656565657,107.65151515151511
72,exit,2301,1,550.1144278606963,115.13930348258712
13,entry,2307,1,350.0303030303032,82.92424242424235
62,entry,2311,1,350.06598984771574,122.38071065989851
41,exit,2329,1,550.0649999999996,91.08500000000004
65,exit,2358,1,550.0845771144279,111.41293532338307
12,entry,2380,1,350.11616161616155,77.53535353535352
45,entry,2382,1,350.0558375634519,93.86294416243655
92,exit,2384,1,550.1557788944724,93.41206030150752
70,entry,2398,1,350.09045226130655,111.8844221105528
96,exit,2411,1,550.2786069651742,101.8557213930348
38,exit,2422,1,550.1899999999996,116.13499999999996
93,entry,2450,1,350.1565656565659,122.33838383838385
83,exit,2457,1,550.1930693069306,90.61386138613864
17,exit,2466,1,550.18,104.24999999999997
48,entry,2473,1,350.04040404040387,80.6313131313131
57,entry,2504,1,350.0505050505051,95.31818181818183
80,exit,2520,1,550.0603015075378,109.45728643216087
67,entry,2527,1,350.0454545454545,116.32828282828282
21,exit,2531,1,550.065326633166,87.06532663316577
27,exit,2558,1,550.0703517587941,100.60804020100504
19,exit,2587,1,550.2437810945268,83.38308457711436
26,entry,2597,1,350.0656565656566,80.3383838383838
6,exit,2613,1,550.0940594059405,99.12376237623766
8,entry,2614,1,350.16751269035535,63.507614213197954
18,exit,2630,1,550.0199004975119,111.38308457711443
61,exit,2660,1,550.01,87.84499999999994
56,entry,2670,1,350.17171717171715,110.42929292929288
