ID,Event,Frame,Cell kind,Coordinates
44,entry,765,1,350.03015075376896,64.55276381909547
33,entry,844,1,350.01500000000016,63.84999999999998
43,entry,868,1,350.03499999999974,75.81999999999995
99,entry,890,1,350.12121212121235,137.040404040404
11,entry,918,1,350.100502512563,65.25125628140705
77,entry,918,1,350.2474747474749,127.72727272727279
53,entry,941,1,350.33333333333326,76.2070707070707
88,entry,985,1,350.060913705584,135.43147208121835
32,entry,1009,1,350.04568527918786,81.01522842639594
65,entry,1011,1,350.0808080808081,124.7171717171717
10,entry,1015,1,350.04568527918786,63.90862944162438
22,entry,1048,1,350.0456852791878,73.15736040609139
75,entry,1066,1,350.33165829145713,135.21105527638187
76,entry,1081,1,350.3366336633665,121.15346534653465
9,entry,1112,1,350.1206030150754,64.18090452261309
54,entry,1116,1,350.0199004975129,84.92537313432835
86,entry,1138,1,350,132.79695431472084
31,entry,1151,1,350.4343434343434,75.18686868686864
66,entry,1161,1,350.0149999999999,121.17999999999994
8,entry,1187,1,350.0402010050252,67.20603015075378
40,entry,1204,1,350.2914572864321,86.64321608040204
84,entry,1214,1,350.2537313432835,129.80597014925388
21,entry,1260,1,350.0808080808081,67.53535353535354
42,entry,1264,1,350.01005025125596,83.46733668341713
87,entry,1272,1,350.23857868020303,136.80710659898477
64,entry,1326,1,350.09500000000014,116.00500000000002
52,entry,1331,1,350.0899999999998,87.73500000000006
30,entry,1334,1,350.31313131313124,63.45959595959594
41,entry,1349,1,350.15151515151524,77.04545454545456
95,entry,1357,1,350.1269035532994,124.36548223350252
85,entry,1375,1,350.0358974358973,137.16923076923075
74,entry,1406,1,350.06565656565624,109.50505050505055
19,entry,1415,1,350.00507614213205,68.4822335025381
28,entry,1489,1,350.10204081632645,86.13775510204084
97,entry,1493,1,350.1887755102041,133.4744897959184
20,entry,1529,1,350.0000000000001,63.556122448979586
73,entry,1538,1,350.1333333333332,123.05128205128203
29,entry,1572,1,350.17766497461906,76.58883248730959
39,entry,1617,1,350.11224489795916,92.515306122449
44,exit,1619,1,550.1859296482409,87.78391959798994
83,entry,1620,1,350.04102564102567,125.42564102564101
96,entry,1633,1,350.02072538860114,135.8186528497411
7,entry,1634,1,350.08673469387776,64.61734693877553
63,entry,1652,1,350.04591836734687,103.05102040816321
33,exit,1685,1,550.3299999999996,94.025
43,exit,1693,1,550.165,84.21000000000002
61,entry,1693,1,350.1015228426395,114.60913705583759
99,exit,1733,1,550.0696517412932,105.24378109452732
11,exit,1764,1,550.0497512437809,87.35323383084574
38,entry,1768,1,350.08163265306126,98.68367346938776
27,entry,1774,1,350.0710659898477,78.5786802030457
5,entry,1782,1,350.10204081632656,62.91326530612242
77,exit,1786,1,550.0050251256281,110.91959798994979
98,entry,1786,1,350.0612244897959,134.22959183673458
53,exit,1813,1,550.2914572864322,92.59798994974877
72,entry,1832,1,350.0603015075377,110.8442211055276
88,exit,1845,1,550.1363636363636,106.62626262626263
81,entry,1863,1,350.01522842639605,120.69035532994918
17,entry,1866,1,350.09693877551007,80.07653061224488
65,exit,1881,1,550.1949999999997,96.455
94,entry,1901,1,350.0406091370561,136.26903553299493
10,exit,1907,1,550.1500000000001,85.03000000000003
75,exit,1908,1,550.0349999999999,108.275
26,entry,1932,1,350.05641025641,86.9230769230769
25,entry,1940,1,350.010101010101,68.42424242424244
32,exit,1958,1,550.0594059405944,94.76732673267331
76,exit,1962,1,550.1049999999999,111.21000000000004
60,entry,1989,1,350.1969696969697,118.03535353535354
71,entry,1999,1,350.0808080808082,103.39393939393942
22,exit,2022,1,550.1094527363182,96.52238805970148
18,entry,2030,1,350.1515151515152,64.71717171717167
31,exit,2045,1,550.3131313131313,107.32828282828284
9,exit,2051,1,550.0299999999995,89.86500000000001
54,exit,2061,1,550.2462311557787,117.98994974874363
82,entry,2075,1,350.0152284263958,132.49746192893397
49,entry,2077,1,350.0301507537687,95.90954773869353
93,entry,2090,1,350.0101522842639,116.38071065989848
35,entry,2097,1,350.0408163265307,74.55102040816327
8,exit,2098,1,550.1293532338307,85.15920398009949
66,exit,2116,1,550.1691542288559,100.87064676616907
86,exit,2124,1,550.215,116.43500000000002
40,exit,2171,1,550.0749999999994,87.16999999999997
84,exit,2181,1,550.1293532338309,111.18407960199006
21,exit,2184,1,550.015,97.87000000000005
4,entry,2201,1,350.0051020408165,71.74999999999997
58,entry,2220,1,350,112.23979591836735
15,entry,2232,1,350.03535353535347,93.10606060606062
87,exit,2237,1,550.0699999999995,108.04499999999997
62,entry,2239,1,350.1675126903553,101.87817258883247
92,entry,2240,1,350.0615384615386,137.39487179487176
36,entry,2252,1,350.1356783919598,80.35175879396981
30,exit,2254,1,550.2311557788942,89.66834170854271
42,exit,2286,1,550.0398009950247,105.2786069651742
24,entry,2299,1,350.01015228426405,63.40101522842639
69,entry,2307,1,350.11111111111086,121.53535353535354
41,exit,2315,1,550.1449999999999,89.99999999999999
59,entry,2328,1,350.0995024875622,105.41293532338314
64,exit,2333,1,550.2288557213933,102.86567164179101
23,entry,2356,1,350.05076142131963,77.15736040609134
79,entry,2378,1,350.10152284263955,134.68020304568532
55,entry,2386,1,350.20408163265336,120.34693877551013
52,exit,2391,1,550.2750000000004,94.58499999999997
85,exit,2405,1,550.2549999999998,110.47499999999997
19,exit,2422,1,550.1044776119404,85.17412935323377
16,entry,2440,1,350.02010050251255,75.53266331658288
28,exit,2443,1,550.2149999999999,98.30000000000001
74,exit,2484,1,550.145728643216,103.14572864321609
78,entry,2496,1,350.05999999999995,120.12000000000003
20,exit,2497,1,550.4797979797983,89.83838383838383
97,exit,2501,1,550.206030150754,116.05527638190955
6,entry,2522,1,350.0954773869347,62.86432160804021
68,entry,2538,1,350.03015075376896,133.748743718593
39,exit,2549,1,550.1809045226129,84.39195979899498
37,entry,2551,1,350.10606060606045,102.44444444444441
73,exit,2557,1,550.1336633663366,106.56930693069302
50,entry,2578,1,350.02020202020185,72.43434343434343
83,exit,2595,1,550.3699999999998,115.97999999999996
47,entry,2604,1,350.0101522842641,87.26395939086298
95,exit,2605,1,550.155778894472,96.31658291457285
29,exit,2644,1,550.0299999999999,90.48999999999997
91,entry,2651,1,350.14141414141403,134.94949494949495
