ID,Event,Frame,Cell kind,Coordinates
44,entry,1164,1,350.1100000000002,63.239999999999995
43,entry,1297,1,350.0502512562815,70.3065326633166
77,entry,1331,1,350.25252525252546,134.1464646464647
22,entry,1375,1,350.20603015075415,75.54271356783921
33,entry,1390,1,350.0603015075378,64.4874371859297
88,entry,1408,1,350.040201005025,136.23115577889445
87,entry,1448,1,350.11499999999984,126.75499999999994
10,entry,1463,1,350.05102040816337,64.07653061224491
31,entry,1496,1,350.0757575757579,74.61616161616162
55,entry,1530,1,350.24500000000006,85.01999999999998
76,entry,1533,1,350.08457711442776,125.55721393034828
32,entry,1595,1,350.1557788944724,70.30653266331656
42,entry,1609,1,350.10050251256297,85.55778894472358
66,entry,1637,1,350.08500000000015,129.82499999999996
75,entry,1638,1,350.03030303030295,118.96464646464642
11,entry,1663,1,350.0656565656567,68.71212121212119
53,entry,1696,1,350.175879396985,86.36180904522611
86,entry,1732,1,350.2131979695433,137.49746192893394
20,entry,1753,1,350.06999999999994,63.62000000000001
30,entry,1756,1,350.09999999999997,77.14499999999998
62,entry,1759,1,350.24378109452744,118.92039800995026
63,entry,1786,1,350.00000000000006,127.98484848484853
40,entry,1836,1,350.2474747474746,82.3282828282828
74,entry,1859,1,350.36683417085436,116.91959798994972
19,entry,1879,1,350.0804020100502,70.4472361809045
54,entry,1915,1,350.1950000000001,88.19999999999999
99,entry,1937,1,350.07035175879383,132.13065326633165
9,entry,1943,1,350.09000000000026,66.28999999999999
41,entry,1979,1,350.0251256281407,85.06532663316584
84,entry,1998,1,350.086294416244,123.44162436548223
8,entry,2040,1,350.0303030303031,67.62121212121217
64,entry,2059,1,350.13567839195974,109.64824120603012
73,entry,2100,1,350.0653266331658,127.91457286432161
39,entry,2116,1,350.0301507537689,88.02512562814069
52,entry,2141,1,350.00505050505035,66.98989898989905
60,entry,2163,1,350.0000000000001,115.35858585858587
6,entry,2246,1,350.07614213197985,63.67005076142132
44,exit,2254,1,550.1708542713566,86.97989949748742
38,entry,2267,1,350.1161616161616,79.6060606060606
85,entry,2268,1,350,133.18181818181827
28,entry,2357,1,350.15577889447246,76.71356783919596
43,exit,2388,1,550.2713567839195,88.30653266331663
94,entry,2400,1,350.0505050505049,118.1060606060606
77,exit,2435,1,550.1799999999998,97.12500000000006
16,entry,2440,1,350.09090909090924,72.82828282828282
97,entry,2459,1,350.0150753768845,132.68844221105522
87,exit,2463,1,550.1592039800986,111.00000000000004
33,exit,2532,1,550.0349999999999,91.99999999999997
26,entry,2551,1,350.2323232323233,72.8838383838384
59,entry,2553,1,350.11557788944725,102.63316582914574
22,exit,2557,1,550.0251256281407,107.5427135678392
81,entry,2562,1,350.09547738693476,120.05527638190951
29,entry,2586,1,350.0050761421319,94.71573604060913
5,entry,2616,1,350.0353535353536,63.843434343434325
10,exit,2619,1,550.0796019900497,93.92537313432837
55,exit,2664,1,550.0151515151512,103.36363636363636
88,exit,2676,1,550.1959798994974,116.94472361809046
82,entry,2679,1,350.0402010050253,124.643216080402
18,entry,2730,1,350.0000000000002,64.45959595959602
76,exit,2755,1,550.0050251256284,98.87437185929646
72,entry,2780,1,350.1457286432163,105.8793969849247
25,entry,2796,1,350.17587939698495,87.09547738693475
42,exit,2812,1,550.0550000000001,107.695
31,exit,2816,1,550.0696517412933,90.9154228855721
50,entry,2821,1,350.00497512437823,123.75124378109452
49,entry,2834,1,350.0954773869349,97.43216080402006
75,exit,2835,1,550.0449999999998,118.255
71,entry,2863,1,350.03030303030283,136.99999999999994
35,entry,2877,1,350.0100502512563,79.90954773869346
53,exit,2912,1,550.03,109.82499999999996
32,exit,2948,1,550.1599999999997,92.22500000000001
27,entry,2973,1,350.0202020202021,76.11111111111113
80,entry,2979,1,350.1758793969851,122.34673366834171
62,exit,2984,1,550.08,101.00000000000003
7,entry,2996,1,350.0402010050253,64.52763819095479
11,exit,2997,1,550.1549999999995,81.875
48,entry,3075,1,350.060301507538,96.8743718592964
30,exit,3090,1,550.0201005025124,104.23618090452261
40,exit,3093,1,550.0452261306527,90.95979899497486
51,entry,3098,1,350.17085427135686,107.26633165829149
34,entry,3108,1,350.0555555555556,82.02525252525251
96,entry,3109,1,350.08542713567834,134.175879396985
20,exit,3116,1,550.0600000000001,79.72499999999991
66,exit,3124,1,550.0351758793964,113.16582914572865
63,exit,3177,1,550.1658291457284,120.40703517587941
57,entry,3190,1,350.1206030150755,117.65326633165834
19,exit,3193,1,550.0849999999999,84.67999999999995
17,entry,3202,1,350.0050000000002,65.6
15,entry,3218,1,350.0100502512562,78.76884422110557
54,exit,3233,1,550.1658291457285,100.17587939698498
69,entry,3242,1,350.1206030150754,132.86432160804026
9,exit,3253,1,550.0398009950247,87.33830845771149
86,exit,3274,1,550.1005025125626,124.80904522613065
74,exit,3301,1,550.0497512437813,109.39303482587064
8,exit,3319,1,550.1809045226132,91.65326633165826
47,entry,3349,1,350.0700000000001,76.595
99,exit,3355,1,550.0000000000001,123.50000000000004
84,exit,3380,1,550.0799999999996,106.95999999999998
41,exit,3385,1,550.05,90.92000000000002
95,entry,3394,1,350.03030303030306,136.47474747474743
83,entry,3411,1,350.03999999999985,103.87499999999996
13,entry,3419,1,350.0101010101009,62.88383838383839
64,exit,3442,1,550.0149999999993,101.57
65,entry,3449,1,350.1557788944721,92.09547738693469
90,entry,3456,1,350.0251256281407,125.87437185929649
79,entry,3466,1,350.07999999999987,114.64000000000001
36,entry,3501,1,350.010101010101,77.73737373737377
52,exit,3510,1,550.2999999999996,95.58
85,exit,3553,1,550.2238805970143,125.38308457711437
