Run,Mean Frames,Std Frames,Min Frames,Max Frames
1.0,1221.704918032787,173.02209341220896,927.0,1653.0
2.0,1249.6065573770493,158.98189400982372,900.0,1677.0
3.0,1275.8360655737704,182.97688199404396,979.0,1894.0
4.0,1227.5081967213114,179.66224078817262,875.0,1750.0
5.0,1253.9344262295083,191.86461101972046,839.0,1793.0
6.0,1257.4918032786886,159.89263303342233,964.0,1643.0
7.0,1257.1475409836066,158.53746518994322,966.0,1716.0
8.0,1227.4098360655737,156.11965251575265,945.0,1658.0
9.0,1232.8360655737704,168.8338611700734,962.0,1849.0
10.0,1254.2295081967213,169.15381495773042,986.0,1629.0
11.0,1253.2459016393443,173.38720211689065,914.0,1678.0
12.0,1278.0983606557377,199.63739670696572,892.0,1769.0
13.0,1215.0983606557377,177.17295739079682,869.0,1734.0
14.0,1239.1311475409836,165.82706608691637,956.0,1780.0
15.0,1261.0655737704917,200.13069636718726,846.0,1780.0
16.0,1229.0655737704917,146.94816193162123,919.0,1572.0
17.0,1199.344262295082,155.5010059180649,900.0,1700.0
18.0,1233.9344262295083,161.44564295271428,949.0,1718.0
19.0,1238.5245901639344,163.03870773095338,978.0,1689.0
20.0,1225.032786885246,165.81264198014927,848.0,1609.0
21.0,1272.639344262295,200.3595129416857,896.0,1781.0
22.0,1253.5901639344263,203.36235123945465,856.0,1983.0
23.0,1247.9344262295083,188.29399608524065,903.0,1806.0
24.0,1209.688524590164,202.64357387488727,893.0,1680.0
25.0,1252.8360655737704,152.31887389375711,955.0,1638.0
26.0,1218.1639344262296,173.64563343467339,892.0,1780.0
27.0,1225.0819672131147,160.89119460906568,882.0,1652.0
28.0,1269.967213114754,217.81130726794353,891.0,2144.0
29.0,1215.4918032786886,154.86646107220028,869.0,1741.0
30.0,1207.344262295082,159.60951154258757,925.0,1598.0
31.0,1256.327868852459,199.63781549859027,885.0,1668.0
32.0,1246.1147540983607,175.52408176284112,916.0,1850.0
33.0,1236.704918032787,150.0741310444381,895.0,1593.0
34.0,1221.72131147541,142.06607982995575,922.0,1514.0
35.0,1223.5737704918033,190.66064608936242,876.0,1733.0
36.0,1254.4918032786886,161.32354890620897,951.0,1675.0
37.0,1236.1475409836066,187.79961271397534,857.0,1895.0
38.0,1267.5245901639344,175.58147268978175,925.0,1751.0
39.0,1275.032786885246,161.59135364793033,945.0,1641.0
40.0,1251.0819672131147,178.74239331898545,964.0,1825.0
41.0,1242.5409836065573,153.46319578001885,902.0,1777.0
42.0,1233.704918032787,169.59720361907458,842.0,1755.0
43.0,1218.8688524590164,155.34976401761242,883.0,1534.0
44.0,1256.8524590163934,169.98419887993253,873.0,1641.0
45.0,1243.4590163934427,168.10419127934634,895.0,1760.0
46.0,1248.2295081967213,217.62547288423616,865.0,1838.0
47.0,1237.1475409836066,165.72545932611698,854.0,1639.0
48.0,1268.704918032787,201.78514516371902,920.0,1819.0
49.0,1223.6065573770493,134.2722704915308,918.0,1611.0
50.0,1228.5081967213114,178.65223414507673,856.0,1772.0
51.0,1254.4754098360656,156.67350409448912,900.0,1800.0
52.0,1207.688524590164,147.05084619314582,955.0,1665.0
53.0,1219.344262295082,126.52560811233715,965.0,1516.0
54.0,1233.4590163934427,143.25857435310132,957.0,1758.0
55.0,1248.8032786885246,165.19411003141437,924.0,1735.0
56.0,1235.327868852459,164.62358289053196,842.0,1594.0
57.0,1253.360655737705,175.26970006125657,974.0,1579.0
58.0,1231.72131147541,159.81375943553184,970.0,1613.0
59.0,1257.311475409836,154.52858861535478,870.0,1844.0
60.0,1237.344262295082,179.86178816394008,865.0,1706.0
61.0,1222.5737704918033,176.09973112002885,832.0,1606.0
62.0,1240.049180327869,162.953104320385,828.0,1627.0
63.0,1222.655737704918,167.9661558415764,942.0,1693.0
64.0,1243.1147540983607,175.56091994524823,845.0,1646.0
65.0,1265.8688524590164,189.14487176146542,886.0,1990.0
66.0,1251.016393442623,176.9373233476833,852.0,1699.0
67.0,1235.0983606557377,172.99794843851305,887.0,1633.0
68.0,1276.377049180328,178.39536278861308,906.0,1709.0
69.0,1231.7377049180327,167.59712623225815,952.0,1630.0
70.0,1244.7868852459017,156.2270905609415,984.0,1781.0
71.0,1225.8196721311476,192.6595882376237,878.0,1702.0
72.0,1189.016393442623,140.0908623957179,820.0,1580.0
73.0,1216.3934426229507,187.7365422330386,821.0,1781.0
74.0,1254.950819672131,161.36319553825444,981.0,1684.0
75.0,1250.360655737705,158.99947932691322,909.0,1670.0
76.0,1263.688524590164,187.4627554994686,926.0,1848.0
77.0,1249.049180327869,169.20937978625852,911.0,1903.0
78.0,1261.0,168.6747363023481,978.0,1740.0
79.0,1246.5409836065573,161.78098093518201,869.0,1603.0
80.0,1291.2295081967213,167.83299173509985,944.0,1669.0
