ID,exit,entry,Run,Frames
31,2812.0,1503.0,1,1309.0
32,2158.0,1231.0,1,927.0
33,2167.0,1126.0,1,1041.0
35,4408.0,3125.0,1,1283.0
36,3566.0,2436.0,1,1130.0
37,3657.0,2246.0,1,1411.0
38,3221.0,2015.0,1,1206.0
39,3264.0,2103.0,1,1161.0
4,3945.0,2742.0,1,1203.0
40,2884.0,1625.0,1,1259.0
41,2840.0,1608.0,1,1232.0
42,2387.0,1378.0,1,1009.0
43,2110.0,1181.0,1,929.0
44,2082.0,1128.0,1,954.0
46,4882.0,3229.0,1,1653.0
48,4037.0,2695.0,1,1342.0
49,4503.0,2976.0,1,1527.0
50,3013.0,1802.0,1,1211.0
51,2753.0,1504.0,1,1249.0
52,2445.0,1339.0,1,1106.0
53,2529.0,1452.0,1,1077.0
54,2462.0,1318.0,1,1144.0
55,1988.0,1037.0,1,951.0
56,3707.0,2564.0,1,1143.0
57,4231.0,2859.0,1,1372.0
58,3997.0,2612.0,1,1385.0
59,3651.0,2314.0,1,1337.0
60,3796.0,2517.0,1,1279.0
61,2942.0,1675.0,1,1267.0
62,3078.0,1857.0,1,1221.0
63,2793.0,1457.0,1,1336.0
64,2392.0,1339.0,1,1053.0
65,2312.0,1269.0,1,1043.0
66,2240.0,1305.0,1,935.0
68,4373.0,3129.0,1,1244.0
69,4061.0,2704.0,1,1357.0
70,3338.0,2156.0,1,1182.0
71,3275.0,2087.0,1,1188.0
72,3863.0,2592.0,1,1271.0
73,3500.0,2285.0,1,1215.0
74,3152.0,1878.0,1,1274.0
75,3026.0,1839.0,1,1187.0
76,2549.0,1432.0,1,1117.0
77,2013.0,1078.0,1,935.0
8,3061.0,1897.0,1,1164.0
80,3399.0,2185.0,1,1214.0
81,3710.0,2416.0,1,1294.0
84,3326.0,2014.0,1,1312.0
85,3328.0,1712.0,1,1616.0
86,2919.0,1526.0,1,1393.0
87,2072.0,1142.0,1,930.0
88,2345.0,1119.0,1,1226.0
9,2567.0,1345.0,1,1222.0
91,4281.0,2988.0,1,1293.0
93,3913.0,2381.0,1,1532.0
94,4144.0,2676.0,1,1468.0
95,2472.0,1324.0,1,1148.0
96,2690.0,1583.0,1,1107.0
97,2262.0,1215.0,1,1047.0
98,3602.0,1992.0,1,1610.0
99,2613.0,1320.0,1,1293.0
34,4068.0,2767.0,2,1301.0
35,3931.0,2603.0,2,1328.0
36,4162.0,2762.0,2,1400.0
37,4255.0,2926.0,2,1329.0
38,3589.0,2252.0,2,1337.0
39,3001.0,1925.0,2,1076.0
40,3158.0,2003.0,2,1155.0
41,2740.0,1557.0,2,1183.0
42,2801.0,1596.0,2,1205.0
43,2102.0,1202.0,2,900.0
44,2084.0,1124.0,2,960.0
46,4125.0,2837.0,2,1288.0
47,4669.0,3299.0,2,1370.0
48,4392.0,3069.0,2,1323.0
50,3623.0,2404.0,2,1219.0
51,2934.0,1721.0,2,1213.0
52,2984.0,1742.0,2,1242.0
53,2462.0,1444.0,2,1018.0
54,2218.0,1168.0,2,1050.0
55,2089.0,942.0,2,1147.0
56,4083.0,2799.0,2,1284.0
57,4392.0,2926.0,2,1466.0
58,3541.0,2319.0,2,1222.0
59,3968.0,2568.0,2,1400.0
6,3226.0,1940.0,2,1286.0
60,3387.0,2208.0,2,1179.0
61,3103.0,1846.0,2,1257.0
62,2747.0,1448.0,2,1299.0
63,3483.0,2095.0,2,1388.0
64,2683.0,1440.0,2,1243.0
65,2343.0,1309.0,2,1034.0
66,2211.0,1228.0,2,983.0
68,4496.0,3037.0,2,1459.0
69,4522.0,3137.0,2,1385.0
7,3160.0,1739.0,2,1421.0
71,3287.0,2101.0,2,1186.0
72,3067.0,1856.0,2,1211.0
73,2747.0,1604.0,2,1143.0
74,2443.0,1328.0,2,1115.0
75,2645.0,1395.0,2,1250.0
76,2308.0,1258.0,2,1050.0
77,1994.0,1004.0,2,990.0
8,2893.0,1601.0,2,1292.0
81,3868.0,2672.0,2,1196.0
82,3551.0,2095.0,2,1456.0
83,3210.0,1890.0,2,1320.0
84,3794.0,2481.0,2,1313.0
85,2858.0,1641.0,2,1217.0
